NO,Date,Year,Month,Day,Open,High,Low,Close,Volume,AdjClose,datetime,NYTempHigh,NYTempLow,BadWeather,
990,2011-08-18,2011,8,18,116.5,119.709999,113.389999,114.510002,512956300,105.487867,8/18/11,28.300000,19.400000,3.000000,
991,2011-08-17,2011,8,17,120.25,121.199997,118.720001,119.669998,238201100,110.241312,8/17/11,30.000000,18.900000,0.000000,
992,2011-08-16,2011,8,16,119.470001,120.690002,118.309998,119.589996,294095200,110.167613,8/16/11,25.600000,18.300000,3.000000,
993,2011-08-15,2011,8,15,119.190002,120.739998,119,120.620003,258810600,111.116467,8/15/11,25.000000,20.000000,4.000000,
994,2011-08-12,2011,8,12,118.400002,119.209999,117.279999,118.120003,313731600,108.813439,8/12/11,28.900000,17.800000,0.000000,
995,2011-08-11,2011,8,11,113.260002,118.919998,112.32,117.330002,487979700,108.085682,8/11/11,27.800000,20.600000,0.000000,
996,2011-08-10,2011,8,10,115.260002,116.279999,111.949997,112.290001,662607400,103.442778,8/10/11,30.000000,21.100000,0.000000,
997,2011-08-09,2011,8,9,114.07,117.639999,110.269997,117.480003,717828700,108.223865,8/9/11,28.300000,21.700000,4.000000,
998,2011-08-08,2011,8,8,116.910004,120.120003,112.019997,112.260002,702263900,103.415143,8/8/11,32.200000,23.300000,1.000000,
999,2011-08-05,2011,8,5,121.760002,122.07,116.860001,120.080002,655619200,110.619012,8/5/11,30.000000,21.100000,0.000000,
1000,2011-08-04,2011,8,4,124.419998,124.620003,120.059998,120.260002,520721800,110.78483,8/4/11,28.900000,19.400000,2.000000,
1001,2011-08-03,2011,8,3,125.660004,126.309998,123.529999,126.169998,370830800,116.229183,8/3/11,31.100000,19.400000,3.000000,
1002,2011-08-02,2011,8,2,127.809998,128.5,125.489998,125.489998,346653800,115.602759,8/2/11,32.800000,22.800000,1.000000,
1003,2011-08-01,2011,8,1,130.839996,130.960007,127.529999,128.779999,325790900,118.633544,8/1/11,34.400000,21.700000,2.000000,
1004,2011-07-29,2011,7,29,128.910004,130.550003,127.970001,129.330002,307038400,119.140213,7/29/11,28.900000,21.700000,5.000000,
1005,2011-07-28,2011,7,28,130.600006,131.770004,130.009995,130.220001,207939900,119.96009,7/28/11,30.600000,21.700000,0.000000,
1006,2011-07-27,2011,7,27,132.589996,132.630005,130.429993,130.600006,249020100,120.310155,7/27/11,28.900000,20.000000,0.000000,
1007,2011-07-26,2011,7,26,133.740005,133.960007,133.029999,133.330002,131278200,122.825057,7/26/11,32.200000,20.600000,4.000000,
1008,2011-07-25,2011,7,25,133.300003,134.490005,133.160004,133.830002,136653800,123.285662,7/25/11,26.700000,20.000000,3.000000,
1009,2011-07-22,2011,7,22,134.520004,134.720001,133.759995,134.580002,126019400,123.976571,7/22/11,40.000000,28.900000,1.000000,
1010,2011-07-21,2011,7,21,133.399994,134.820007,132.669998,134.490005,245246300,123.893665,7/21/11,36.100000,23.900000,3.000000,
1011,2011-07-20,2011,7,20,133.070007,133.149994,132.419998,132.649994,137145400,122.198626,7/20/11,31.700000,23.900000,3.000000,
1012,2011-07-19,2011,7,19,131.339996,132.889999,131.309998,132.729996,166554900,122.272325,7/19/11,34.400000,23.900000,3.000000,
1013,2011-07-18,2011,7,18,131.080002,131.279999,129.630005,130.610001,196872100,120.319362,7/18/11,35.000000,23.900000,4.000000,
1014,2011-07-15,2011,7,15,131.660004,131.869995,130.770004,131.690002,220012800,121.314272,7/15/11,30.600000,18.900000,0.000000,
1015,2011-07-14,2011,7,14,132.169998,132.779999,130.679993,130.929993,226111800,120.614142,7/14/11,28.900000,17.800000,0.000000,
1016,2011-07-13,2011,7,13,132.089996,133.220001,131.520004,131.839996,204062600,121.452448,7/13/11,30.000000,20.600000,4.000000,
1017,2011-07-12,2011,7,12,131.690002,132.779999,131.360001,131.399994,214675700,121.047113,7/12/11,33.900000,25.600000,0.000000,
1018,2011-07-11,2011,7,11,132.75,133.179993,131.660004,131.970001,195918600,121.572209,7/11/11,32.800000,23.300000,0.000000,
1019,2011-07-08,2011,7,8,133.830002,135.360001,133.389999,134.399994,194100500,123.810745,7/8/11,29.400000,20.000000,4.000000,
1020,2011-07-07,2011,7,7,135.160004,135.699997,134.880005,135.360001,170464200,124.695114,7/7/11,33.300000,23.300000,1.000000,
1021,2011-07-06,2011,7,6,133.490005,134.139999,133.110001,133.970001,143331600,123.414631,7/6/11,31.700000,22.800000,2.000000,
1022,2011-07-05,2011,7,5,133.779999,134.080002,133.389999,133.809998,165936000,123.267234,7/5/11,30.600000,21.100000,0.000000,
1023,2011-07-01,2011,7,1,132.089996,134.100006,131.779999,133.919998,202385700,123.368568,7/1/11,28.300000,17.200000,0.000000,
1024,2011-06-30,2011,6,30,131.139999,132.179993,130.710007,131.970001,223322700,121.572209,6/30/11,27.800000,18.300000,0.000000,
1025,2011-06-29,2011,6,29,130.199997,130.929993,129.630005,130.720001,244295500,120.420696,6/29/11,27.800000,20.600000,3.000000,
1026,2011-06-28,2011,6,28,128.449997,129.630005,128.270004,129.610001,165556300,119.398151,6/28/11,28.300000,22.200000,3.000000,
1027,2011-06-27,2011,6,27,126.889999,128.429993,126.639999,127.940002,168904700,117.859731,6/27/11,27.800000,18.900000,0.000000,
1028,2011-06-24,2011,6,24,128.270004,128.369995,126.620003,126.809998,226129300,116.818758,6/24/11,21.100000,18.300000,3.000000,
1029,2011-06-23,2011,6,23,127.160004,128.639999,126.190002,128.300003,334286500,118.191367,6/23/11,21.700000,18.900000,3.000000,
1030,2011-06-22,2011,6,22,129.050003,129.809998,128.589996,128.669998,176703000,118.532211,6/22/11,26.700000,21.700000,5.000000,
1031,2011-06-21,2011,6,21,128.360001,129.699997,127.75,129.449997,193157300,119.250754,6/21/11,27.800000,21.100000,0.000000,
1032,2011-06-20,2011,6,20,126.620003,127.970001,126.580002,127.699997,159479000,117.638635,6/20/11,27.200000,19.400000,0.000000,
1033,2011-06-17,2011,6,17,127.93,127.940002,126.620003,127.050003,233284900,117.039853,6/17/11,24.400000,17.800000,4.000000,
1034,2011-06-16,2011,6,16,127.059998,127.970001,126.32,127.300003,308032800,116.691634,6/16/11,28.900000,16.700000,0.000000,
1035,2011-06-15,2011,6,15,128.240005,129.300003,126.68,127.019997,300958000,116.434962,6/15/11,28.300000,13.300000,0.000000,
1036,2011-06-14,2011,6,14,128.869995,129.770004,128.820007,129.320007,160570400,118.543304,6/14/11,22.200000,14.400000,3.000000,
1037,2011-06-13,2011,6,13,127.889999,128.240005,127.050003,127.699997,207599800,117.058295,6/13/11,22.800000,15.600000,3.000000,
1038,2011-06-10,2011,6,10,128.850006,128.929993,127.260002,127.599998,238629400,116.96663,6/10/11,30.600000,21.100000,3.000000,
1039,2011-06-09,2011,6,9,128.770004,129.929993,128.460007,129.399994,160964400,118.616625,6/9/11,35.000000,20.600000,4.000000,
1040,2011-06-08,2011,6,8,128.759995,129.190002,128.179993,128.419998,198696400,117.718296,6/8/11,34.400000,22.800000,1.000000,
1041,2011-06-07,2011,6,7,129.699997,130.070007,128.850006,128.960007,161660500,118.213304,6/7/11,30.600000,18.900000,1.000000,
1042,2011-06-06,2011,6,6,130.089996,130.360001,128.869995,129.039993,179951200,118.286625,6/6/11,27.200000,15.600000,0.000000,
1043,2011-06-03,2011,6,3,130.149994,131.419998,130.080002,130.419998,234690200,119.551629,6/3/11,24.400000,13.900000,0.000000,
1044,2011-06-02,2011,6,2,131.960007,132.240005,130.960007,131.729996,200466800,120.752459,6/2/11,26.700000,16.700000,0.000000,
1045,2011-06-01,2011,6,1,134.509995,134.919998,131.759995,131.869995,233094300,120.880792,6/1/11,32.200000,20.600000,3.000000,
1046,2011-05-31,2011,5,31,134.770004,134.919998,133.839996,134.899994,164731200,123.65829,5/31/11,31.700000,20.600000,3.000000,
1047,2011-05-27,2011,5,27,133.369995,133.869995,132.960007,133.509995,120921900,122.384124,5/27/11,28.300000,18.300000,3.000000,
1048,2011-05-26,2011,5,26,132.029999,133.240005,131.779999,133,164850000,121.91663,5/26/11,25.600000,17.800000,3.000000,
1049,2011-05-25,2011,5,25,131.419998,132.940002,131.380005,132.389999,151050100,121.357463,5/25/11,28.900000,18.300000,0.000000,
