date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20130816,1,22.8,22.15,21.9071428571429,27.80000000000000,17.80000000000000
20130817,0,23.35,22.7833333333333,22.3428571428571,28.90000000000000,17.80000000000000
20130818,0,22.2,22.6833333333333,23.4142857142857,24.40000000000000,20.00000000000000
20130819,0,22.5,23.4166666666667,23.8928571428571,26.10000000000000,18.90000000000000
20130820,0,25.55,25.0833333333333,24.1714285714286,31.10000000000000,20.00000000000000
20130821,0,27.2,25.4666666666667,24.05,32.20000000000000,22.20000000000000
20130822,0,23.65,25.2,24.1714285714286,25.60000000000000,21.70000000000000
20130823,1,24.75,23.6333333333333,24.45,27.80000000000000,21.70000000000000
20130824,0,22.5,23.4333333333333,24.5357142857143,26.70000000000000,18.30000000000000
20130825,0,23.05,23.3333333333333,24.3428571428571,28.30000000000000,17.80000000000000
20130826,1,24.45,24.55,24.4214285714286,28.90000000000000,20.00000000000000
20130827,0,26.15,25.4833333333333,24.4928571428571,30.60000000000000,21.70000000000000
20130828,0,25.85,25.4,25.05,30.00000000000000,21.70000000000000
20130829,0,24.2,25.1,25.5285714285714,26.70000000000000,21.70000000000000
20130830,0,25.25,25.2833333333333,25.6857142857143,29.40000000000000,21.10000000000000
20130831,1,26.4,26.0166666666667,25.3642857142857,30.00000000000000,22.80000000000000
20130901,0,26.4,26.1166666666667,24.9642857142857,28.90000000000000,23.90000000000000
20130902,0,25.55,25.2833333333333,24.6857142857143,27.80000000000000,23.30000000000000
20130903,0,23.9,24.1666666666667,23.6571428571429,27.80000000000000,20.00000000000000
20130904,0,23.05,23.0666666666667,22.8642857142857,27.80000000000000,18.30000000000000
20130905,0,22.25,21.1166666666667,22.3857142857143,26.70000000000000,17.80000000000000
20130906,0,18.05,20.3833333333333,21.3571428571429,22.20000000000000,13.90000000000000
20130907,0,20.85,20.65,21.5571428571429,26.70000000000000,15.00000000000000
20130908,0,23.05,20.75,22.5928571428571,28.30000000000000,17.80000000000000
20130909,0,18.35,22.2333333333333,23.1071428571429,22.80000000000000,13.90000000000000
20130910,1,25.3,24.65,23.3857142857143,30.60000000000000,20.00000000000000
20130911,1,30.3,27.15,22.6642857142857,35.60000000000000,25.00000000000000
20130912,0,25.85,25.3833333333333,21.7571428571429,30.60000000000000,21.10000000000000
20130913,1,20,20.55,21.7142857142857,25.00000000000000,15.00000000000000
20130914,0,15.8,17.5,20.1214285714286,19.40000000000000,12.20000000000000
20130915,0,16.7,16.85,18.1357142857143,22.80000000000000,10.60000000000000
20130916,1,18.05,16.3,17.1857142857143,22.80000000000000,13.30000000000000
20130917,0,14.15,16.2,17.3071428571429,18.30000000000000,10.00000000000000
20130918,0,16.4,16.5833333333333,17.9857142857143,22.20000000000000,10.60000000000000
20130919,0,19.2,18.8166666666667,17.9428571428571,25.60000000000000,12.80000000000000
20130920,0,20.85,20.2,17.4285714285714,26.10000000000000,15.60000000000000
20130921,1,20.55,19.2666666666667,17.6285714285714,25.00000000000000,16.10000000000000
20130922,1,16.4,17.1333333333333,17.7071428571429,20.60000000000000,12.20000000000000
20130923,0,14.45,15.4666666666667,17.5428571428571,18.90000000000000,10.00000000000000
20130924,0,15.55,15.65,17.0285714285714,22.80000000000000,8.3
20130925,0,16.95,16.85,16.6714285714286,22.80000000000000,11.10000000000000
20130926,0,18.05,17.4166666666667,16.9071428571429,21.70000000000000,14.40000000000000
20130927,0,17.25,17.7833333333333,17.5,20.60000000000000,13.90000000000000
20130928,0,18.05,17.7833333333333,18.3357142857143,22.80000000000000,13.30000000000000
20130929,0,18.05,18.2333333333333,19.2071428571429,22.20000000000000,13.90000000000000
20130930,0,18.6,19.35,19.6857142857143,23.90000000000000,13.30000000000000
20131001,0,21.4,21.0166666666667,20.7142857142857,27.80000000000000,15.00000000000000
20131002,0,23.05,21.95,21.15,28.30000000000000,17.80000000000000
